age,job,marital,education,default,balance,housing,loan,contact,campaign,pdays,previous,poutcome,y,Age group
58,management,married,tertiary,0,"$2,143.00",1,0,Null,1,-1,0,Null,0,Above 50
44,technician,single,secondary,0,$29.00,1,0,Null,1,-1,0,Null,0,30-50
33,entrepreneur,married,secondary,0,$2.00,1,1,Null,1,-1,0,Null,0,30-50
47,blue-collar,married,unknown,0,"$1,506.00",1,0,Null,1,-1,0,Null,0,30-50
33,unknown,single,unknown,0,$1.00,0,0,Null,1,-1,0,Null,0,30-50
35,management,married,tertiary,0,$231.00,1,0,Null,1,-1,0,Null,0,30-50
28,management,single,tertiary,0,$447.00,1,1,Null,1,-1,0,Null,0,Under 30
42,entrepreneur,divorced,tertiary,1,$2.00,1,0,Null,1,-1,0,Null,0,30-50
58,retired,married,primary,0,$121.00,1,0,Null,1,-1,0,Null,0,Above 50
43,technician,single,secondary,0,$593.00,1,0,Null,1,-1,0,Null,0,30-50
41,admin.,divorced,secondary,0,$270.00,1,0,Null,1,-1,0,Null,0,30-50
29,admin.,single,secondary,0,$390.00,1,0,Null,1,-1,0,Null,0,Under 30
53,technician,married,secondary,0,$6.00,1,0,Null,1,-1,0,Null,0,Above 50
58,technician,married,unknown,0,$71.00,1,0,Null,1,-1,0,Null,0,Above 50
57,services,married,secondary,0,$162.00,1,0,Null,1,-1,0,Null,0,Above 50
51,retired,married,primary,0,$229.00,1,0,Null,1,-1,0,Null,0,Above 50
45,admin.,single,unknown,0,$13.00,1,0,Null,1,-1,0,Null,0,30-50
57,blue-collar,married,primary,0,$52.00,1,0,Null,1,-1,0,Null,0,Above 50
60,retired,married,primary,0,$60.00,1,0,Null,1,-1,0,Null,0,Above 50
33,services,married,secondary,0,$0.00,1,0,Null,1,-1,0,Null,0,30-50
28,blue-collar,married,secondary,0,$723.00,1,1,Null,1,-1,0,Null,0,Under 30
56,management,married,tertiary,0,$779.00,1,0,Null,1,-1,0,Null,0,Above 50
32,blue-collar,single,primary,0,$23.00,1,1,Null,1,-1,0,Null,0,30-50
25,services,married,secondary,0,$50.00,1,0,Null,1,-1,0,Null,0,Under 30
40,retired,married,primary,0,$0.00,1,1,Null,1,-1,0,Null,0,30-50
44,admin.,married,secondary,0,-$372.00,1,0,Null,1,-1,0,Null,0,30-50
39,management,single,tertiary,0,$255.00,1,0,Null,1,-1,0,Null,0,30-50
52,entrepreneur,married,secondary,0,$113.00,1,1,Null,1,-1,0,Null,0,Above 50
46,management,single,secondary,0,-$246.00,1,0,Null,2,-1,0,Null,0,30-50
36,technician,single,secondary,0,$265.00,1,1,Null,1,-1,0,Null,0,30-50
57,technician,married,secondary,0,$839.00,0,1,Null,1,-1,0,Null,0,Above 50
49,management,married,tertiary,0,$378.00,1,0,Null,1,-1,0,Null,0,30-50
60,admin.,married,secondary,0,$39.00,1,1,Null,1,-1,0,Null,0,Above 50
59,blue-collar,married,secondary,0,$0.00,1,0,Null,1,-1,0,Null,0,Above 50
51,management,married,tertiary,0,"$10,635.00",1,0,Null,1,-1,0,Null,0,Above 50
57,technician,divorced,secondary,0,$63.00,1,0,Null,1,-1,0,Null,0,Above 50
25,blue-collar,married,secondary,0,-$7.00,1,0,Null,1,-1,0,Null,0,Under 30
53,technician,married,secondary,0,-$3.00,0,0,Null,1,-1,0,Null,0,Above 50
36,admin.,divorced,secondary,0,$506.00,1,0,Null,1,-1,0,Null,0,30-50
37,admin.,single,secondary,0,$0.00,1,0,Null,1,-1,0,Null,0,30-50
44,services,divorced,secondary,0,"$2,586.00",1,0,Null,1,-1,0,Null,0,30-50
50,management,married,secondary,0,$49.00,1,0,Null,2,-1,0,Null,0,30-50
60,blue-collar,married,unknown,0,$104.00,1,0,Null,1,-1,0,Null,0,Above 50
54,retired,married,secondary,0,$529.00,1,0,Null,1,-1,0,Null,0,Above 50
58,retired,married,unknown,0,$96.00,1,0,Null,1,-1,0,Null,0,Above 50
36,admin.,single,primary,0,-$171.00,1,0,Null,1,-1,0,Null,0,30-50
58,self-employed,married,tertiary,0,-$364.00,1,0,Null,1,-1,0,Null,0,Above 50
44,technician,married,secondary,0,$0.00,1,0,Null,2,-1,0,Null,0,30-50
55,technician,divorced,secondary,0,$0.00,0,0,Null,1,-1,0,Null,0,Above 50
29,management,single,tertiary,0,$0.00,1,0,Null,1,-1,0,Null,0,Under 30
54,blue-collar,married,secondary,0,"$1,291.00",1,0,Null,1,-1,0,Null,0,Above 50
48,management,divorced,tertiary,0,-$244.00,1,0,Null,1,-1,0,Null,0,30-50
32,management,married,tertiary,0,$0.00,1,0,Null,1,-1,0,Null,0,30-50
42,admin.,single,secondary,0,-$76.00,1,0,Null,1,-1,0,Null,0,30-50
24,technician,single,secondary,0,-$103.00,1,1,Null,1,-1,0,Null,0,Under 30
38,entrepreneur,single,tertiary,0,$243.00,0,1,Null,1,-1,0,Null,0,30-50
38,management,single,tertiary,0,$424.00,1,0,Null,1,-1,0,Null,0,30-50
47,blue-collar,married,unknown,0,$306.00,1,0,Null,1,-1,0,Null,0,30-50
40,blue-collar,single,unknown,0,$24.00,1,0,Null,1,-1,0,Null,0,30-50
46,services,married,primary,0,$179.00,1,0,Null,1,-1,0,Null,0,30-50
32,admin.,married,tertiary,0,$0.00,1,0,Null,1,-1,0,Null,0,30-50
53,technician,divorced,secondary,0,$989.00,1,0,Null,1,-1,0,Null,0,Above 50
57,blue-collar,married,primary,0,$249.00,1,0,Null,1,-1,0,Null,0,Above 50
33,services,married,secondary,0,$790.00,1,0,Null,1,-1,0,Null,0,30-50
49,blue-collar,married,unknown,0,$154.00,1,0,Null,1,-1,0,Null,0,30-50
51,management,married,tertiary,0,"$6,530.00",1,0,Null,1,-1,0,Null,0,Above 50
60,retired,married,tertiary,0,$100.00,0,0,Null,1,-1,0,Null,0,Above 50
59,management,divorced,tertiary,0,$59.00,1,0,Null,1,-1,0,Null,0,Above 50
55,technician,married,secondary,0,"$1,205.00",1,0,Null,2,-1,0,Null,0,Above 50
35,blue-collar,single,secondary,0,"$12,223.00",1,1,Null,1,-1,0,Null,0,30-50
57,blue-collar,married,secondary,0,"$5,935.00",1,1,Null,1,-1,0,Null,0,Above 50
31,services,married,secondary,0,$25.00,1,1,Null,1,-1,0,Null,0,30-50
54,management,married,secondary,0,$282.00,1,1,Null,1,-1,0,Null,0,Above 50
55,blue-collar,married,primary,0,$23.00,1,0,Null,1,-1,0,Null,0,Above 50
43,technician,married,secondary,0,"$1,937.00",1,0,Null,1,-1,0,Null,0,30-50
53,technician,married,secondary,0,$384.00,1,0,Null,1,-1,0,Null,0,Above 50
44,blue-collar,married,secondary,0,$582.00,0,1,Null,1,-1,0,Null,0,30-50
55,services,divorced,secondary,0,$91.00,0,0,Null,1,-1,0,Null,0,Above 50
49,services,divorced,secondary,0,$0.00,1,1,Null,1,-1,0,Null,0,30-50
55,services,divorced,secondary,1,$1.00,1,0,Null,1,-1,0,Null,0,Above 50
45,admin.,single,secondary,0,$206.00,1,0,Null,1,-1,0,Null,0,30-50
47,services,divorced,secondary,0,$164.00,0,0,Null,1,-1,0,Null,0,30-50
42,technician,single,secondary,0,$690.00,1,0,Null,1,-1,0,Null,0,30-50
59,admin.,married,secondary,0,"$2,343.00",1,0,Null,1,-1,0,Null,1,Above 50
46,self-employed,married,tertiary,0,$137.00,1,1,Null,1,-1,0,Null,0,30-50
51,blue-collar,married,primary,0,$173.00,1,0,Null,2,-1,0,Null,0,Above 50
56,admin.,married,secondary,0,$45.00,0,0,Null,1,-1,0,Null,1,Above 50
41,technician,married,secondary,0,"$1,270.00",1,0,Null,1,-1,0,Null,1,30-50
46,management,divorced,secondary,0,$16.00,1,1,Null,2,-1,0,Null,0,30-50
57,retired,married,secondary,0,$486.00,1,0,Null,2,-1,0,Null,0,Above 50
42,management,single,secondary,0,$50.00,0,0,Null,1,-1,0,Null,0,30-50
30,technician,married,secondary,0,$152.00,1,1,Null,2,-1,0,Null,0,30-50
60,admin.,married,secondary,0,$290.00,1,0,Null,1,-1,0,Null,0,Above 50
60,blue-collar,married,unknown,0,$54.00,1,0,Null,1,-1,0,Null,0,Above 50
57,entrepreneur,divorced,secondary,0,-$37.00,0,0,Null,1,-1,0,Null,0,Above 50
36,management,married,tertiary,0,$101.00,1,1,Null,1,-1,0,Null,0,30-50
55,blue-collar,married,secondary,0,$383.00,0,0,Null,1,-1,0,Null,0,Above 50
